x,y,Rule,class,coverage,v1,v2,Pie
57.7344017,-4.460936546,1,0,0.641025641,100,0,"100,0"
-25.14799118,11.96444798,2,0,0.111111111,100,0,"100,0"
-14.35600853,-16.92903137,3,1,0.012195122,0,100,"0,100"
-26.85885239,6.789698601,4,0,0.025641026,100,0,"100,0"
11.723176,-27.53007889,5,1,0.018292683,0,100,"0,100"
-5.188946724,-4.70746851,6,0,0.004273504,100,0,"100,0"
5.089892387,-4.316041946,7,0,0.11965812,100,0,"100,0"
-18.29187965,-12.36728954,8,1,0.018292683,0,100,"0,100"
2.416460514,-9.102054596,9,0,0.038461538,100,0,"100,0"
-1.617554784,-7.677983761,10,0,0.034188034,100,0,"100,0"
2.212614059,4.391580105,11,1,0.024390244,0,100,"0,100"
-0.224656999,7.573215008,12,0,0.004273504,100,0,"100,0"
22.0182724,10.46475697,13,1,0.146341463,0,100,"0,100"
3.553087234,-15.11445904,14,0,0.004273504,100,0,"100,0"
-4.206115723,-21.22814941,15,0,0.004273504,100,0,"100,0"
-23.55165672,1.48834002,16,0,0.004273504,100,0,"100,0"
-21.19603539,-19.42484474,17,1,0.06097561,0,100,"0,100"
-16.36794853,7.060183525,18,0,0.004273504,100,0,"100,0"
-12.93659592,13.22776985,19,0,0.004273504,100,0,"100,0"
24.31540298,47.82317734,20,1,0.719512195,0,100,"0,100"
56.08043289,-7.791169167,21,0,0.892430279,100,0,"100,0"
12.86586094,-28.60569954,22,1,0.020408163,0,100,"0,100"
6.894417763,19.05622101,23,0,0.015936255,100,0,"100,0"
-16.30482483,-12.52864265,24,1,0.034013605,0,100,"0,100"
-27.14997292,8.196583748,25,0,0.039840637,100,0,"100,0"
-26.0664711,2.596677303,26,0,0.015936255,100,0,"100,0"
-21.47566414,-4.012669086,27,0,0.003984064,100,0,"100,0"
-15.54629707,7.179706097,28,0,0.003984064,100,0,"100,0"
-12.42637062,-7.572847366,29,0,0.003984064,100,0,"100,0"
-22.5223465,-20.35571098,30,1,0.102040816,0,100,"0,100"
2.443966627,-14.11728573,31,0,0.011952191,100,0,"100,0"
-2.937711239,-23.17176819,32,0,0.003984064,100,0,"100,0"
22.71215439,47.34785843,33,1,0.795918367,0,100,"0,100"
15.79664516,-5.016944885,34,0,0.007968127,100,0,"100,0"
19.9200573,2.668503284,35,1,0.047619048,0,100,"0,100"
58.89371109,-5.494757652,36,0,0.584677419,100,0,"100,0"
-5.201351643,1.185171008,37,0,0.044354839,100,0,"100,0"
-6.079373837,-5.626933098,38,1,0.006666667,0,100,"0,100"
4.519157887,-3.787144899,39,0,0.116935484,100,0,"100,0"
1.724802375,-13.21532917,40,0,0.032258065,100,0,"100,0"
23.65765953,9.760798454,41,1,0.06,0,100,"0,100"
-3.551499367,-6.84950304,42,0,0.004032258,100,0,"100,0"
-25.02411842,7.69509697,43,0,0.036290323,100,0,"100,0"
-25.96884537,-18.24971199,44,1,0.026666667,0,100,"0,100"
-16.09186172,5.245993137,45,0,0.008064516,100,0,"100,0"
-8.944191933,-0.973771513,46,1,0.073333333,0,100,"0,100"
-3.663547516,-21.61056519,47,0,0.004032258,100,0,"100,0"
2.042174816,7.448241234,48,1,0.02,0,100,"0,100"
3.590404987,-8.114064217,49,0,0.120967742,100,0,"100,0"
20.84811783,3.567481756,50,1,0.006666667,0,100,"0,100"
16.63217926,-5.420070648,51,0,0.008064516,100,0,"100,0"
-11.58952236,6.179897308,52,0,0.004032258,100,0,"100,0"
12.21883583,-1.95656538,53,0,0.004032258,100,0,"100,0"
2.967263222,11.21984386,54,1,0.08,0,100,"0,100"
16.58494186,-23.81316185,55,1,0.006666667,0,100,"0,100"
5.58973217,14.91063499,56,0,0.032258065,100,0,"100,0"
22.36979485,50.91487503,57,1,0.72,0,100,"0,100"
56.95182037,-5.447340965,58,0,0.748971193,100,0,"100,0"
-17.62942314,-13.11859512,59,1,0.012903226,0,100,"0,100"
12.61624527,-27.81602859,60,1,0.006451613,0,100,"0,100"
6.6965909,19.86879158,61,0,0.008230453,100,0,"100,0"
2.798609257,0.276606679,62,1,0.006451613,0,100,"0,100"
-2.067790985,-4.298652649,63,0,0.012345679,100,0,"100,0"
0.405411869,-9.158847809,64,0,0.094650206,100,0,"100,0"
21.36116219,4.262752056,65,1,0.019354839,0,100,"0,100"
21.16160202,11.79811573,66,1,0.090322581,0,100,"0,100"
-26.47982597,10.09488773,67,0,0.102880658,100,0,"100,0"
-7.318104267,-2.957451582,68,1,0.006451613,0,100,"0,100"
-8.649251938,12.3546629,69,0,0.008230453,100,0,"100,0"
12.99548817,-2.61463666,70,0,0.004115226,100,0,"100,0"
1.443628788,7.978055,71,1,0.038709677,0,100,"0,100"
5.94709444,12.28984833,72,1,0.064516129,0,100,"0,100"
-18.1223793,-2.709858894,73,0,0.008230453,100,0,"100,0"
-32.82687759,-1.210735083,74,0,0.008230453,100,0,"100,0"
-24.47145462,0.526936352,75,0,0.004115226,100,0,"100,0"
-23.2736721,-16.6731472,76,1,0.019354839,0,100,"0,100"
23.03740692,49.8439827,77,1,0.735483871,0,100,"0,100"
56.58744049,-6.633665562,78,0,0.78968254,100,0,"100,0"
11.57561016,-29.01165199,79,1,0.01369863,0,100,"0,100"
5.645759583,-7.825557232,80,0,0.079365079,100,0,"100,0"
0.276985854,1.115122437,81,1,0.01369863,0,100,"0,100"
-3.132244587,2.272869349,82,0,0.023809524,100,0,"100,0"
-9.779102325,12.8850584,83,0,0.01984127,100,0,"100,0"
-13.81987762,-2.277439833,84,0,0.003968254,100,0,"100,0"
10.56488514,5.739794731,85,1,0.02739726,0,100,"0,100"
23.53411865,7.306250095,86,1,0.034246575,0,100,"0,100"
16.23399544,-3.54340291,87,0,0.003968254,100,0,"100,0"
-26.79428291,4.660443783,88,0,0.007936508,100,0,"100,0"
-14.63992786,-17.4852314,89,1,0.006849315,0,100,"0,100"
-24.66814613,7.084874153,90,0,0.055555556,100,0,"100,0"
-33.79973984,-15.00087357,91,1,0.006849315,0,100,"0,100"
-2.453877926,-22.87315559,92,0,0.003968254,100,0,"100,0"
-9.095119476,-0.423766583,93,1,0.068493151,0,100,"0,100"
-13.82550335,-6.751868248,94,0,0.011904762,100,0,"100,0"
-7.680979252,-11.46947861,95,1,0.061643836,0,100,"0,100"
21.3744812,49.70992661,96,1,0.767123288,0,100,"0,100"
-11.76699448,-16.83872986,97,1,0.031007752,0,100,"0,100"
-5.501202583,-3.489358902,98,0,0.003717472,100,0,"100,0"
55.77952576,-5.060537338,99,0,0.828996283,100,0,"100,0"
19.56778526,12.64147377,100,1,0.03875969,0,100,"0,100"
22.51728249,8.260656357,101,1,0.093023256,0,100,"0,100"
-0.468865901,-5.169962406,102,0,0.007434944,100,0,"100,0"
16.92744255,-24.14549446,103,1,0.007751938,0,100,"0,100"
-26.22627258,10.60664845,104,0,0.12267658,100,0,"100,0"
-7.723112106,16.8426857,105,0,0.014869888,100,0,"100,0"
5.590856552,11.52009487,106,1,0.147286822,0,100,"0,100"
-32.15164566,-1.799270511,107,0,0.011152416,100,0,"100,0"
-19.22404671,-3.094234943,108,0,0.007434944,100,0,"100,0"
-12.72176743,-7.367041588,109,0,0.003717472,100,0,"100,0"
-23.91156387,-21.13051414,110,1,0.03875969,0,100,"0,100"
23.66279221,48.91853333,111,1,0.643410853,0,100,"0,100"
55.31684494,-6.448415756,112,0,0.897637795,100,0,"100,0"
10.92058563,5.319883347,113,1,0.006944444,0,100,"0,100"
15.34718895,-5.751028061,114,0,0.015748031,100,0,"100,0"
14.97523403,-25.5767746,115,1,0.006944444,0,100,"0,100"
4.077802658,-15.47958851,116,0,0.007874016,100,0,"100,0"
21.89558792,5.229616165,117,1,0.034722222,0,100,"0,100"
-24.96874809,9.983976364,118,0,0.051181102,100,0,"100,0"
-25.37296867,-17.93752861,119,1,0.041666667,0,100,"0,100"
-6.813076973,18.34975815,120,0,0.007874016,100,0,"100,0"
8.325790405,7.948845863,121,0,0.011811024,100,0,"100,0"
-14.81259632,5.994554043,122,0,0.003937008,100,0,"100,0"
21.15206718,12.52015114,123,1,0.069444444,0,100,"0,100"
-8.045485497,11.50699139,124,0,0.003937008,100,0,"100,0"
3.469671011,10.6895752,125,1,0.013888889,0,100,"0,100"
24.84575272,49.3339653,126,1,0.826388889,0,100,"0,100"
57.82149887,-6.471523762,127,0,0.825203252,100,0,"100,0"
6.026037693,18.45853233,128,0,0.012195122,100,0,"100,0"
13.72601604,-25.7732563,129,1,0.013157895,0,100,"0,100"
-13.02645779,-17.09341621,130,1,0.006578947,0,100,"0,100"
-1.073346972,-4.903196812,131,0,0.024390244,100,0,"100,0"
-19.74191284,-2.814789534,132,0,0.012195122,100,0,"100,0"
-32.99547195,-2.088933468,133,0,0.004065041,100,0,"100,0"
-33.9595108,-15.54038334,134,1,0.006578947,0,100,"0,100"
-23.33686829,-20.30914307,135,1,0.039473684,0,100,"0,100"
5.660461903,-2.905527592,136,0,0.028455285,100,0,"100,0"
8.003388405,3.404938936,137,1,0.019736842,0,100,"0,100"
-7.175575256,12.17839622,138,0,0.081300813,100,0,"100,0"
-0.343366563,0.309175342,139,1,0.013157895,0,100,"0,100"
-1.860820532,6.434313297,140,0,0.004065041,100,0,"100,0"
2.656722546,4.003728867,141,1,0.006578947,0,100,"0,100"
23.07265282,8.81983757,142,1,0.072368421,0,100,"0,100"
-18.5699482,-14.28852081,143,1,0.032894737,0,100,"0,100"
-13.42860317,5.966456413,144,0,0.008130081,100,0,"100,0"
24.10471535,50.59372711,145,1,0.789473684,0,100,"0,100"
-14.50155926,-2.298313856,146,0,0.015444015,100,0,"100,0"
-22.22636032,-24.15715599,147,1,0.007194245,0,100,"0,100"
57.64669037,-7.917638779,148,0,0.768339768,100,0,"100,0"
-21.99326706,-4.434938908,149,0,0.003861004,100,0,"100,0"
-24.7323513,-16.82136154,150,1,0.007194245,0,100,"0,100"
15.07888126,-26.24373055,151,1,0.007194245,0,100,"0,100"
5.671062469,19.80690956,152,0,0.011583012,100,0,"100,0"
-20.14183617,-14.34414864,153,1,0.050359712,0,100,"0,100"
-15.99773312,-15.93546391,154,0,0.003861004,100,0,"100,0"
6.124301434,1.726040006,155,0,0.023166023,100,0,"100,0"
3.484990358,-3.16553092,156,0,0.054054054,100,0,"100,0"
1.2226758,1.279525638,157,1,0.014388489,0,100,"0,100"
0.944245338,-9.460035324,158,0,0.069498069,100,0,"100,0"
-2.440050602,4.901972294,159,0,0.027027027,100,0,"100,0"
16.58873749,-2.195474148,160,0,0.003861004,100,0,"100,0"
-6.585474968,-4.491158962,161,1,0.014388489,0,100,"0,100"
-6.964025021,17.53602028,162,0,0.015444015,100,0,"100,0"
-7.350180626,8.017181396,163,0,0.003861004,100,0,"100,0"
6.885577679,10.4455328,164,1,0.050359712,0,100,"0,100"
22.3996563,48.71202469,165,1,0.848920863,0,100,"0,100"
58.96428299,-7.190292835,166,0,0.745247148,100,0,"100,0"
-25.11917877,1.302874088,167,0,0.015209125,100,0,"100,0"
-32.8509407,-15.57558346,168,1,0.022222222,0,100,"0,100"
6.11669302,-7.609046936,169,0,0.136882129,100,0,"100,0"
-22.37698936,-16.62106514,170,1,0.051851852,0,100,"0,100"
8.836013794,8.356470108,171,0,0.003802281,100,0,"100,0"
-15.73562336,4.177940845,172,0,0.022813688,100,0,"100,0"
-4.029168606,2.023362398,173,0,0.038022814,100,0,"100,0"
-22.02674484,-24.53330612,174,1,0.022222222,0,100,"0,100"
-2.413888216,-20.22937202,175,0,0.007604563,100,0,"100,0"
-12.54031658,13.52672958,176,0,0.011406844,100,0,"100,0"
-1.16538012,-0.837244272,177,0,0.003802281,100,0,"100,0"
-7.052763939,8.161105156,178,0,0.003802281,100,0,"100,0"
7.357571602,2.703650236,179,1,0.007407407,0,100,"0,100"
-7.343033314,-11.49041176,180,1,0.140740741,0,100,"0,100"
14.39097786,-4.654606819,181,0,0.007604563,100,0,"100,0"
-1.419965267,5.853742599,182,0,0.003802281,100,0,"100,0"
-5.452061653,17.46892166,183,1,0.044444444,0,100,"0,100"
21.14084244,47.97650528,184,1,0.711111111,0,100,"0,100"
-31.28164135,-26.33378254,185,,,,,","
-31.28164135,-23.65591308,186,,,,,","
-31.28164135,-20.97804363,187,,,,,","
-31.28164135,-18.30017417,188,,,,,","
-31.28164135,-12.94443526,189,,,,,","
-31.28164135,-10.2665658,190,,,,,","
-31.28164135,-7.588696346,191,,,,,","
-31.28164135,-4.91082689,192,,,,,","
-31.28164135,3.122781477,193,,,,,","
-31.28164135,5.800650933,194,,,,,","
-31.28164135,8.478520389,195,,,,,","
-31.28164135,11.15638984,196,,,,,","
-31.28164135,13.8342593,197,,,,,","
